gu,facility_type,facility_name,install_location,address,install_year,source_dataset
종로구,무더위쉼터,종로노인종합복지관 경로당,종로노인종합복지관 1층,서울특별시 종로구 삼봉로 71,2019,SAMPLE_NOT_REAL
중구,무더위쉼터,을지로경로당,을지로3가 주민센터 옆,서울특별시 중구 을지로 지하상가 12,2020,SAMPLE_NOT_REAL
용산구,스마트쉼터,용산역광장 스마트쉼터,용산역 1번 출구 앞,서울특별시 용산구 한강대로 100,2022,SAMPLE_NOT_REAL
성동구,그늘막,왕십리광장 그늘막,왕십리역 2번 출구 앞,서울특별시 성동구 왕십리로 220,2021,SAMPLE_NOT_REAL
광진구,쿨링포그,건대입구역 쿨링포그,건대입구역 6번 출구 광장,서울특별시 광진구 능동로 110,2023,SAMPLE_NOT_REAL
동대문구,무더위쉼터,청량리동 마을회관,청량리동 주민센터 2층,서울특별시 동대문구 왕산로 214,2018,SAMPLE_NOT_REAL
중랑구,스마트쉼터,상봉터미널 스마트쉼터,상봉터미널 앞 광장,서울특별시 중랑구 망우로 353,2022,SAMPLE_NOT_REAL
성북구,무더위쉼터,성북노인복지센터 경로당,성북노인복지센터 1층,서울특별시 성북구 화랑로 63,2019,SAMPLE_NOT_REAL
강북구,그늘막,수유역 그늘막,수유역 4번 출구,서울특별시 강북구 도봉로 51,2021,SAMPLE_NOT_REAL
도봉구,쿨링포그,창동역 쿨링포그,창동역 1번 출구 광장,서울특별시 도봉구 마들로 11,2023,SAMPLE_NOT_REAL
노원구,무더위쉼터,노원노인복지관,노원노인복지관 로비,서울특별시 노원구 노원로 12,2017,SAMPLE_NOT_REAL
은평구,스마트쉼터,연신내역 스마트쉼터,연신내역 3번 출구,서울특별시 은평구 통일로 897,2022,SAMPLE_NOT_REAL
서대문구,무더위쉼터,신촌동 경로당,신촌동 주민센터 옆,서울특별시 서대문구 신촌로 83,2018,SAMPLE_NOT_REAL
마포구,그늘막,홍대입구역 그늘막,홍대입구역 9번 출구 광장,서울특별시 마포구 양화로 160,2021,SAMPLE_NOT_REAL
양천구,무더위쉼터,목동경로당,목동종합복지관 2층,서울특별시 양천구 목동로 111,2019,SAMPLE_NOT_REAL
강서구,쿨링포그,화곡역 쿨링포그,화곡역 5번 출구,서울특별시 강서구 화곡로 302,2023,SAMPLE_NOT_REAL
구로구,스마트쉼터,구로디지털단지역 스마트쉼터,구로디지털단지역 2번 출구,서울특별시 구로구 디지털로 300,2022,SAMPLE_NOT_REAL
금천구,무더위쉼터,가산동 마을회관,가산동 주민센터 1층,서울특별시 금천구 가산로 90,2018,SAMPLE_NOT_REAL
영등포구,그늘막,여의도공원 그늘막,여의도공원 서문 광장,서울특별시 영등포구 여의공원로 68,2021,SAMPLE_NOT_REAL
동작구,무더위쉼터,노량진노인정,노량진1동 주민센터 옆,서울특별시 동작구 노량진로 140,2019,SAMPLE_NOT_REAL
관악구,스마트쉼터,서울대입구역 스마트쉼터,서울대입구역 3번 출구,서울특별시 관악구 관악로 152,2022,SAMPLE_NOT_REAL
서초구,쿨링포그,서초역 쿨링포그,서초역 4번 출구 광장,서울특별시 서초구 서초대로 396,2023,SAMPLE_NOT_REAL
강남구,무더위쉼터,대치노인복지센터,대치노인복지센터 1층,서울특별시 강남구 남부순환로 2947,2017,SAMPLE_NOT_REAL
송파구,그늘막,잠실역 그늘막,잠실역 2번 출구 광장,서울특별시 송파구 올림픽로 240,2021,SAMPLE_NOT_REAL
강동구,무더위쉼터,천호경로당,천호동 주민센터 옆,서울특별시 강동구 천호대로 1017,2018,SAMPLE_NOT_REAL
